kategorija;naziv;opis;cijena_eur;interval
Paketi izrade web stranica;Statična one-page web stranica;Brza i sigurna web stranica s cijelim sadržajem organiziranim na jednoj stranici, idealna za poslovanja kojima nisu potrebne česte izmjene sadržaja.;349;
Paketi izrade web stranica;Statična web stranica do 5 stranica;Cjelovita, brza i profesionalno dizajnirana web stranica za poslovanja kojima nisu potrebne česte izmjene sadržaja.;799;
Paketi izrade web stranica;WordPress web stranica;Fleksibilna web stranica koja vam omogućuje jednostavno upravljanje vlastitim sadržajem putem WordPress CMS-a.;1199;
Paketi izrade web stranica;Hosting i održavanje statične stranice;Pouzdan hosting, nadzor, održavanje i manje izmjene sadržaja za statične web stranice.;149;/ godišnje
Paketi izrade web stranica;Hosting statične web stranice;Pouzdan godišnji hosting za statične web stranice bez paketa kontinuiranog održavanja.;79;/ godišnje
Paketi izrade web stranica;WordPress hosting i održavanje;Upravljani hosting i održavanje za sigurnu, ažurnu i pouzdanu WordPress web stranicu.;259;/ godišnje
Dodatne usluge;Dodatna stranica;Dodatna stranica dizajnirana u skladu s postojećim stilom i strukturom vaše web stranice.;120;/ stranica
Dodatne usluge;Dodatna jezična verzija;Dodajte još jedan jezik s lokaliziranim stranicama, navigacijom, metapodacima, URL-ovima i prebacivanjem jezika.;99;/ web stranica
Dodatne usluge;Postavljanje Google Business profila;Profesionalno postavljanje i optimizacija profila kako bi vas korisnici lakše pronašli na Google pretraživanju i Kartama.;79;
Dodatne usluge;Paket vizuala za web;Usklađen paket vizuala izrađen uz pomoć AI alata i prilagođen dizajnu vaše web stranice.;79;/ paket
Dodatne usluge;Pisanje sadržaja;Profesionalni tekstovi za web stranicu izrađeni na temelju informacija i materijala koje dostavite.;50;/ stranica
Dodatne usluge;Razvoj po mjeri;Dodatne funkcionalnosti, integracije i tehnički rad izvan standardnih paketa izrade web stranica.;40;/ sat
AI web usluge;Objava AI web stranice;Za jednostavne poslovne web stranice izrađene uz pomoć AI-ja koje su već prikladne za objavu.;149;
AI web usluge;Obnova hostinga nakon prvih 12 mjeseci;Godišnja obnova hostinga za objavljenu AI web stranicu nakon prvih 12 mjeseci.;99;/ godišnje
Izmjene i plaćena podrška;Izmjena sadržaja;Za manje izmjene postojećeg sadržaja, primjerice tekst, broj telefona, fotografiju, poveznicu ili CTA.;20;od
Izmjene i plaćena podrška;Brzi popravak;Za manje, jasno definirane tehničke probleme koji se mogu brzo riješiti.;39;od
